iter	RMSE
0	0.004469531944
1	0.004404354784
2	0.004338200691
3	0.004283535704
4	0.004225454269
5	0.004166455351
6	0.004113859721
7	0.004059743263
8	0.00399855992
9	0.003950079047
10	0.003905448944
11	0.003857975056
12	0.003809003686
13	0.003773216323
14	0.003716833884
15	0.003685290277
16	0.003652414723
17	0.003607701558
18	0.003564086511
19	0.003530058879
20	0.003487626973
21	0.003446774038
22	0.003405395708
23	0.00337175827
24	0.003338728587
25	0.003317409159
26	0.003287824886
27	0.003254148026
28	0.003233357361
29	0.00321155765
30	0.003186733982
31	0.00315934616
32	0.003135185545
33	0.003104977288
34	0.00308148206
35	0.003062942639
36	0.003039434113
37	0.003012127869
38	0.002989909901
39	0.002966761671
40	0.002944420469
41	0.002914670805
42	0.002890782119
43	0.002876742203
44	0.002853600305
45	0.002834788919
46	0.002817398277
47	0.002797852584
48	0.002778931616
49	0.002761746545
50	0.002744211744
51	0.002727302862
52	0.002711553167
53	0.002688969817
54	0.002670649625
55	0.002654367815
56	0.002638322712
57	0.002624951067
58	0.002602899598
59	0.002587141084
60	0.002571992338
61	0.00255401275
62	0.002532117462
63	0.002522364741
64	0.002513521926
65	0.00249748605
66	0.00248613703
67	0.002469660048
68	0.002458249098
69	0.002445919342
70	0.002433061745
71	0.00242315095
72	0.002415984165
73	0.002404695742
74	0.002390063992
75	0.002372942314
76	0.002361622179
77	0.002346668925
78	0.002337503587
79	0.002330631209
80	0.002323366547
81	0.002316708912
82	0.002307816537
83	0.002298353023
84	0.002286880822
85	0.002273366464
86	0.002266307479
87	0.002257821767
88	0.002252430614
89	0.002239995967
90	0.002233861482
91	0.002220816212
92	0.002206981808
93	0.002201384224
94	0.00219172313
95	0.002183628505
96	0.002171681592
97	0.002165899272
98	0.002151910265
99	0.002145493053
100	0.002135419293
101	0.002126027962
102	0.002117849617
103	0.00210967194
104	0.002101318816
105	0.002095729129
106	0.002084803753
107	0.002078956199
108	0.002070394277
109	0.002063445976
110	0.00205428648
111	0.00204458105
112	0.002036751338
113	0.002026694062
114	0.002021736173
115	0.002016879149
116	0.0020100537
117	0.002004217055
118	0.002001078427
119	0.001993181645
120	0.00198638381
121	0.001976979379
122	0.001969130931
123	0.001962659643
124	0.001956891199
125	0.001950010058
126	0.001939128927
127	0.001933165056
128	0.001923864581
129	0.001917623595
130	0.001911706338
131	0.001902085722
132	0.001894834495
133	0.001885686524
134	0.001878582014
135	0.001870308444
136	0.001863176801
137	0.001858778501
138	0.001852844027
139	0.001844563684
140	0.001840011801
141	0.001835328744
142	0.001828604176
143	0.001820955222
144	0.001816268276
145	0.001812975219
146	0.001805274558
147	0.001799114096
148	0.001793457395
